timestamp,open,high,low,close,volume
2026-03-08 05:00:00,81.9,82.74,81.88,82.43,550739.82
2026-03-08 06:00:00,82.43,82.57,82.21,82.39,409864.6
2026-03-08 07:00:00,82.39,83.06,82.34,82.9,662088.39
2026-03-08 08:00:00,82.89,83.07,82.43,83.04,498281.97
2026-03-08 09:00:00,83.03,83.34,82.72,83.1,733170.13
2026-03-08 10:00:00,83.11,84.07,83.09,83.59,997322.75
2026-03-08 11:00:00,83.6,83.6,82.56,82.74,1057253.91
2026-03-08 12:00:00,82.75,82.95,81.54,82.25,1744143.49
2026-03-08 13:00:00,82.26,82.42,81.11,82.03,1708813.83
2026-03-08 14:00:00,82.02,82.33,81.89,82.25,726121.96
2026-03-08 15:00:00,82.25,82.36,81.77,81.99,578616.36
2026-03-08 16:00:00,81.99,82.11,81.29,81.46,751234.32
2026-03-08 17:00:00,81.46,81.94,81.31,81.63,625737.77
2026-03-08 18:00:00,81.63,81.76,81.23,81.54,487124.86
2026-03-08 19:00:00,81.55,82.62,81.44,82.44,937601.92
2026-03-08 20:00:00,82.43,82.93,82.05,82.27,661858.73
2026-03-08 21:00:00,82.27,82.38,81.65,82.2,551973.55
2026-03-08 22:00:00,82.19,82.47,80.18,81.96,3076430.25
2026-03-08 23:00:00,81.96,82.4,81.43,81.56,910735.95
2026-03-09 00:00:00,81.57,83.26,81.5,82.29,1346743.04
2026-03-09 01:00:00,82.29,82.87,81.82,82.05,943327.9
2026-03-09 02:00:00,82.05,82.9,81.6,82.62,1069215.45
2026-03-09 03:00:00,82.62,84.47,82.57,83.1,2081934.14
2026-03-09 04:00:00,83.1,83.83,83.02,83.15,709935.0
2026-03-09 05:00:00,83.15,84.58,83.07,84.24,1421657.51
2026-03-09 06:00:00,84.24,84.26,83.04,83.07,857768.59
2026-03-09 07:00:00,83.07,83.25,82.25,83.12,1211708.81
2026-03-09 08:00:00,83.12,83.81,82.87,83.67,917827.04
2026-03-09 09:00:00,83.68,84.56,83.26,83.97,1077347.31
2026-03-09 10:00:00,83.98,84.19,83.44,83.68,702046.64
2026-03-09 11:00:00,83.69,83.88,83.04,83.52,705159.08
2026-03-09 12:00:00,83.52,84.17,83.34,83.96,831150.07
2026-03-09 13:00:00,83.96,85.71,83.94,85.11,2377954.31
2026-03-09 14:00:00,85.1,85.7,84.51,85.25,1932076.89
2026-03-09 15:00:00,85.24,85.42,84.58,85.01,985892.52
2026-03-09 16:00:00,85.0,85.6,84.66,85.09,983267.64
2026-03-09 17:00:00,85.09,85.38,84.27,85.05,1409292.86
2026-03-09 18:00:00,85.04,85.54,84.43,85.15,1324953.23
2026-03-09 19:00:00,85.15,87.0,85.03,85.92,2452284.46
2026-03-09 20:00:00,85.93,86.14,85.25,85.77,787508.19
2026-03-09 21:00:00,85.76,86.32,85.63,85.97,772917.78
2026-03-09 22:00:00,85.96,86.27,85.52,85.67,834425.61
2026-03-09 23:00:00,85.67,85.95,84.78,84.91,708696.04
